run,slice,cand,variant,v1_ok,v11_ok,v11abl_ok,tot,regressed
e2-opus5-lrml,comparability,8421f806,perturbed,1,1,1,6,0
e2-opus5-lrml,comparability,87c9c5f5,perturbed,4,4,4,4,0
e2-opus5-lrml,comparability,8aa4b706,perturbed,1,1,1,4,0
e2-opus5-lrml,comparability,8fec1c4a,perturbed,1,1,1,4,0
e2-opus5-lrml,comparability,9a574829,perturbed,4,4,4,4,0
e2-opus5-lrml,comparability,9dd2a0f1,perturbed,6,6,6,6,0
e2-opus5-lrml,comparability,9ff8b8fd,perturbed,5,5,5,5,0
e2-opus5-lrml,comparability,a1f91cfd,perturbed,1,1,1,5,0
e2-opus5-lrml,comparability,a4dc06ab,perturbed,4,5,0,6,0
e2-opus5-lrml,comparability,a4fccc69,perturbed,1,1,1,4,0
e2-opus5-lrml,comparability,aaca648c,perturbed,4,4,4,4,0
e2-opus5-lrml,comparability,b5edf19f,perturbed,4,4,4,4,0
e2-opus5-lrml,comparability,bb9ec292,perturbed,5,5,5,5,0
e2-opus5-lrml,comparability,bd1438b0,perturbed,3,3,3,5,0
e2-opus5-lrml,comparability,c06bb553,perturbed,4,4,4,4,0
e2-opus5-lrml,comparability,cc72106e,perturbed,2,2,2,6,0
e2-opus5-lrml,comparability,d3c5b819,perturbed,4,4,4,4,0
e2-opus5-lrml,comparability,dae0db09,perturbed,3,4,0,5,0
e2-opus5-lrml,comparability,df09194e,perturbed,4,4,4,4,0
e2-opus5-lrml,comparability,f009a781,perturbed,4,4,4,4,0
e2-opus5-lrml,comparability,f41fb8da,perturbed,4,4,4,4,0
e2-opus5-lrml,comparability,f51da5c6,perturbed,4,4,4,4,0
e2-opus5-lrml,comparability,f7cfdf57,perturbed,1,1,1,5,0
e2-opus5-lrml,exception,cand01,original,3,3,0,6,0
e2-opus5-lrml,exception,cand02,original,1,1,1,6,0
e2-opus5-lrml,exception,cand08,original,5,5,0,7,0
e2-opus5-lrml,exception,cand16,original,1,1,4,5,0
e2-opus5-lrml,exception,cand18,original,1,1,1,6,0
e2-opus5-lrml,exception,cand20,original,1,1,4,5,0
e2-opus5-lrml,exception,cand21,original,1,1,6,6,0
e2-opus5-lrml,exception,cand27,original,4,4,0,6,0
e2-opus5-lrml,exception,cand31,original,2,2,2,5,0
e2-opus5-lrml,exception,cand32,original,1,1,7,7,0
e2-opus5-lrml,exception,cand37,original,1,1,6,6,0
e2-opus5-lrml,exception,cand40,original,1,1,1,5,0
e2-opus5-lrml,exception,cand43,original,1,1,3,5,0
e2-opus5-lrml,exception,cand52,original,1,1,5,6,0
e2-opus5-lrml,exception,cand56,original,4,4,4,5,0
e2-opus5-lrml,exception,cand57,original,3,3,2,5,0
e2-opus5-lrml,exception,cand65,original,4,4,0,5,0
e2-opus5-lrml,exception,cand75,original,2,1,1,6,1
e2-opus5-lrml,exception,cand76,original,1,1,4,6,0
e2-opus5-lrml,exception,cand77,original,1,1,1,6,0
e2-opus5-lrml,exception,cand01,perturbed,3,3,0,6,0
e2-opus5-lrml,exception,cand02,perturbed,1,1,5,6,0
e2-opus5-lrml,exception,cand08,perturbed,5,5,0,7,0
e2-opus5-lrml,exception,cand16,perturbed,1,1,4,5,0
e2-opus5-lrml,exception,cand18,perturbed,1,1,1,6,0
e2-opus5-lrml,exception,cand20,perturbed,1,1,4,5,0
e2-opus5-lrml,exception,cand21,perturbed,1,1,6,6,0
e2-opus5-lrml,exception,cand27,perturbed,4,4,0,6,0
e2-opus5-lrml,exception,cand31,perturbed,2,2,2,5,0
e2-opus5-lrml,exception,cand32,perturbed,1,1,7,7,0
e2-opus5-lrml,exception,cand37,perturbed,1,1,4,6,0
e2-opus5-lrml,exception,cand40,perturbed,1,1,1,5,0
e2-opus5-lrml,exception,cand43,perturbed,1,1,3,5,0
e2-opus5-lrml,exception,cand52,perturbed,1,1,4,6,0
e2-opus5-lrml,exception,cand56,perturbed,4,4,4,5,0
e2-opus5-lrml,exception,cand57,perturbed,2,2,1,5,0
e2-opus5-lrml,exception,cand65,perturbed,4,4,0,5,0
e2-opus5-lrml,exception,cand75,perturbed,2,1,1,6,1
e2-opus5-lrml,exception,cand76,perturbed,1,1,2,6,0
e2-opus5-lrml,exception,cand77,perturbed,1,1,1,6,0
e2-haiku-lrml,comparability,0085ecdd,original,1,1,1,6,0
e2-haiku-lrml,comparability,0219127c,original,1,3,3,6,0
e2-haiku-lrml,comparability,02f5e3fb,original,1,4,4,4,0
e2-haiku-lrml,comparability,08efb7a8,original,1,1,1,4,0
e2-haiku-lrml,comparability,09b2a395,original,0,1,1,7,0
e2-haiku-lrml,comparability,0aaf71f0,original,5,5,5,5,0
e2-haiku-lrml,comparability,0edb92b7,original,1,1,4,5,0
e2-haiku-lrml,comparability,12e545d1,original,1,1,1,5,0
e2-haiku-lrml,comparability,14d1a086,original,1,1,4,4,0
e2-haiku-lrml,comparability,1ebce0c9,original,0,1,1,5,0
e2-haiku-lrml,comparability,20518e80,original,1,1,1,4,0
e2-haiku-lrml,comparability,23db27ac,original,5,5,5,5,0
e2-haiku-lrml,comparability,2af8ee5f,original,4,4,4,6,0
e2-haiku-lrml,comparability,2b60007d,original,2,2,2,7,0
e2-haiku-lrml,comparability,2cc3d5b0,original,5,5,0,6,0
e2-haiku-lrml,comparability,31d635b2,original,2,5,5,5,0
e2-haiku-lrml,comparability,328fb8e7,original,3,3,3,5,0
e2-haiku-lrml,comparability,526d7a82,original,1,5,4,5,0
e2-haiku-lrml,comparability,5fe7997a,original,4,4,4,4,0
e2-haiku-lrml,comparability,6187cad8,original,1,1,1,4,0
e2-haiku-lrml,comparability,6414854d,original,1,1,1,5,0
e2-haiku-lrml,comparability,675c4d48,original,1,1,1,4,0
e2-haiku-lrml,comparability,681c4394,original,5,5,5,5,0
e2-haiku-lrml,comparability,78d904cd,original,1,1,1,5,0
e2-haiku-lrml,comparability,7db23e3b,original,1,1,1,5,0
e2-haiku-lrml,comparability,7f49ccb1,original,1,1,1,5,0
e2-haiku-lrml,comparability,80221d2c,original,1,1,3,6,0
e2-haiku-lrml,comparability,82aa0792,original,1,1,1,4,0
e2-haiku-lrml,comparability,8421f806,original,1,1,0,6,0
e2-haiku-lrml,comparability,87c9c5f5,original,1,1,1,4,0
e2-haiku-lrml,comparability,8aa4b706,original,2,2,3,4,0
e2-haiku-lrml,comparability,8fec1c4a,original,1,3,2,4,0
e2-haiku-lrml,comparability,9a574829,original,4,4,4,4,0
e2-haiku-lrml,comparability,9dd2a0f1,original,4,5,5,6,0
e2-haiku-lrml,comparability,9ff8b8fd,original,5,5,5,5,0
e2-haiku-lrml,comparability,a1f91cfd,original,1,1,1,5,0
e2-haiku-lrml,comparability,a4dc06ab,original,0,1,0,6,0
e2-haiku-lrml,comparability,a4fccc69,original,1,1,1,4,0
e2-haiku-lrml,comparability,aaca648c,original,4,4,4,4,0
e2-haiku-lrml,comparability,b5edf19f,original,4,4,4,4,0
e2-haiku-lrml,comparability,bb9ec292,original,0,5,5,5,0
e2-haiku-lrml,comparability,bd1438b0,original,3,3,3,5,0
e2-haiku-lrml,comparability,c06bb553,original,4,4,4,4,0
e2-haiku-lrml,comparability,cc72106e,original,2,2,2,6,0
e2-haiku-lrml,comparability,d3c5b819,original,4,4,4,4,0
e2-haiku-lrml,comparability,dae0db09,original,3,4,0,5,0
e2-haiku-lrml,comparability,df09194e,original,4,4,4,4,0
e2-haiku-lrml,comparability,f009a781,original,1,1,1,4,0
e2-haiku-lrml,comparability,f41fb8da,original,4,4,4,4,0
e2-haiku-lrml,comparability,f51da5c6,original,2,2,2,4,0
e2-haiku-lrml,comparability,f7cfdf57,original,1,1,1,5,0
e2-haiku-lrml,comparability,0085ecdd,perturbed,1,1,1,6,0
e2-haiku-lrml,comparability,0219127c,perturbed,1,3,3,6,0
e2-haiku-lrml,comparability,02f5e3fb,perturbed,1,4,4,4,0
e2-haiku-lrml,comparability,08efb7a8,perturbed,1,1,1,4,0
e2-haiku-lrml,comparability,09b2a395,perturbed,0,1,1,7,0
e2-haiku-lrml,comparability,0aaf71f0,perturbed,5,5,5,5,0
e2-haiku-lrml,comparability,0edb92b7,perturbed,1,1,4,5,0
e2-haiku-lrml,comparability,12e545d1,perturbed,1,1,1,5,0
e2-haiku-lrml,comparability,14d1a086,perturbed,1,1,1,4,0
e2-haiku-lrml,comparability,1ebce0c9,perturbed,0,1,1,5,0
e2-haiku-lrml,comparability,20518e80,perturbed,1,1,1,4,0
e2-haiku-lrml,comparability,23db27ac,perturbed,5,5,5,5,0
e2-haiku-lrml,comparability,2af8ee5f,perturbed,4,4,4,6,0
e2-haiku-lrml,comparability,2b60007d,perturbed,2,2,2,7,0
e2-haiku-lrml,comparability,2cc3d5b0,perturbed,5,5,5,6,0
e2-haiku-lrml,comparability,31d635b2,perturbed,2,5,5,5,0
e2-haiku-lrml,comparability,328fb8e7,perturbed,3,3,3,5,0
e2-haiku-lrml,comparability,526d7a82,perturbed,1,5,4,5,0
e2-haiku-lrml,comparability,5fe7997a,perturbed,4,4,4,4,0
e2-haiku-lrml,comparability,6187cad8,perturbed,1,1,3,4,0
e2-haiku-lrml,comparability,6414854d,perturbed,1,1,1,5,0
e2-haiku-lrml,comparability,675c4d48,perturbed,1,1,1,4,0
e2-haiku-lrml,comparability,681c4394,perturbed,5,5,5,5,0
e2-haiku-lrml,comparability,78d904cd,perturbed,1,1,1,5,0
e2-haiku-lrml,comparability,7db23e3b,perturbed,1,1,1,5,0
e2-haiku-lrml,comparability,7f49ccb1,perturbed,1,1,1,5,0
e2-haiku-lrml,comparability,80221d2c,perturbed,1,1,3,6,0
e2-haiku-lrml,comparability,82aa0792,perturbed,1,1,1,4,0
e2-haiku-lrml,comparability,8421f806,perturbed,1,1,0,6,0
e2-haiku-lrml,comparability,87c9c5f5,perturbed,1,1,1,4,0
e2-haiku-lrml,comparability,8aa4b706,perturbed,2,2,2,4,0
e2-haiku-lrml,comparability,8fec1c4a,perturbed,1,3,2,4,0
e2-haiku-lrml,comparability,9a574829,perturbed,4,4,4,4,0
e2-haiku-lrml,comparability,9dd2a0f1,perturbed,6,6,6,6,0
e2-haiku-lrml,comparability,9ff8b8fd,perturbed,5,5,5,5,0
e2-haiku-lrml,comparability,a1f91cfd,perturbed,1,1,1,5,0
e2-haiku-lrml,comparability,a4dc06ab,perturbed,0,1,0,6,0
e2-haiku-lrml,comparability,a4fccc69,perturbed,1,1,1,4,0
e2-haiku-lrml,comparability,aaca648c,perturbed,4,4,4,4,0
e2-haiku-lrml,comparability,b5edf19f,perturbed,4,4,4,4,0
e2-haiku-lrml,comparability,bb9ec292,perturbed,0,5,5,5,0
e2-haiku-lrml,comparability,bd1438b0,perturbed,3,3,3,5,0
e2-haiku-lrml,comparability,c06bb553,perturbed,4,4,4,4,0
e2-haiku-lrml,comparability,cc72106e,perturbed,2,2,2,6,0
e2-haiku-lrml,comparability,d3c5b819,perturbed,4,4,4,4,0
e2-haiku-lrml,comparability,dae0db09,perturbed,3,4,0,5,0
e2-haiku-lrml,comparability,df09194e,perturbed,4,4,4,4,0
e2-haiku-lrml,comparability,f009a781,perturbed,1,1,1,4,0
e2-haiku-lrml,comparability,f41fb8da,perturbed,4,4,4,4,0
e2-haiku-lrml,comparability,f51da5c6,perturbed,2,2,2,4,0
e2-haiku-lrml,comparability,f7cfdf57,perturbed,1,1,1,5,0
e2-haiku-lrml,exception,cand01,original,3,3,0,6,0
e2-haiku-lrml,exception,cand02,original,1,1,0,6,0
e2-haiku-lrml,exception,cand08,original,0,1,0,7,0
e2-haiku-lrml,exception,cand16,original,1,1,2,5,0
e2-haiku-lrml,exception,cand18,original,1,1,1,6,0
e2-haiku-lrml,exception,cand20,original,1,1,2,5,0
e2-haiku-lrml,exception,cand21,original,1,1,1,6,0
e2-haiku-lrml,exception,cand31,original,2,2,2,5,0
e2-haiku-lrml,exception,cand32,original,1,1,1,7,0
e2-haiku-lrml,exception,cand37,original,1,1,3,6,0
e2-haiku-lrml,exception,cand40,original,1,1,1,5,0
e2-haiku-lrml,exception,cand43,original,1,1,3,5,0
e2-haiku-lrml,exception,cand52,original,1,1,5,6,0
e2-haiku-lrml,exception,cand56,original,1,1,1,5,0
e2-haiku-lrml,exception,cand57,original,1,1,1,5,0
e2-haiku-lrml,exception,cand65,original,0,1,1,5,0
e2-haiku-lrml,exception,cand75,original,2,2,2,6,0
e2-haiku-lrml,exception,cand76,original,0,1,0,6,0
e2-haiku-lrml,exception,cand77,original,1,1,2,6,0
e2-haiku-lrml,exception,cand01,perturbed,2,2,0,6,0
e2-haiku-lrml,exception,cand02,perturbed,1,1,0,6,0
e2-haiku-lrml,exception,cand08,perturbed,3,3,0,7,0
e2-haiku-lrml,exception,cand16,perturbed,1,1,2,5,0
e2-haiku-lrml,exception,cand18,perturbed,1,1,1,6,0
e2-haiku-lrml,exception,cand20,perturbed,1,1,4,5,0
e2-haiku-lrml,exception,cand21,perturbed,1,1,1,6,0
e2-haiku-lrml,exception,cand27,perturbed,3,3,0,6,0
e2-haiku-lrml,exception,cand31,perturbed,2,2,2,5,0
e2-haiku-lrml,exception,cand32,perturbed,1,1,1,7,0
e2-haiku-lrml,exception,cand37,perturbed,1,1,3,6,0
e2-haiku-lrml,exception,cand43,perturbed,1,1,3,5,0
e2-haiku-lrml,exception,cand52,perturbed,1,1,5,6,0
e2-haiku-lrml,exception,cand56,perturbed,1,1,1,5,0
e2-haiku-lrml,exception,cand57,perturbed,1,1,1,5,0
e2-haiku-lrml,exception,cand65,perturbed,0,1,1,5,0
e2-haiku-lrml,exception,cand75,perturbed,2,2,2,6,0
e2-haiku-lrml,exception,cand76,perturbed,0,1,0,6,0
e2-haiku-lrml,exception,cand77,perturbed,1,1,5,6,0
